EmissionID,Year,TechID,Value
1,2015,10,0.0314339650724341
1,2015,25,0.00225699431691945
1,2015,40,1.1532682143056199
1,2015,50,3.27028457064903e-13
1,2015,70,0.0300641978266979
1,2015,80,0.20242108353454702
1,2015,81,0.0240270236286266
1,2015,90,0.0273005032937598
1,2015,91,1.68704025015061e-9
1,2015,92,1.21474893309645e-6
1,2015,100,0.0286996091702982
1,2015,110,0.0286996091702982
1,2015,120,0.0273496795796502
1,2015,130,0.0131061581455663
1,2015,140,0.183670381922923
1,2015,150,0.0124364217775322
1,2015,160,0.0130356973903446
1,2015,161,2.7938922645887503e-5
1,2015,162,1.29759309790513e-5
1,2015,170,0.0130356973903446
1,2015,171,0.0226453215048466
1,2015,181,0.0122124842015597
1,2015,190,0.0016547466100956
1,2015,191,1.2947338369333498e-5
1,2015,192,5.7304213880587e-6
1,2015,200,0.154256595408817
1,2015,210,0.00173751433452674
1,2015,220,0.00182747178989237
1,2015,230,0.00182747178989237
1,2015,240,0.0017119908603118199
1,2015,245,0.0213222838267507
1,2015,250,0.0027311444105005698
1,2015,251,0.013780597525821
1,2015,260,0.0910895197619888
1,2015,265,0.141493684031603
1,2015,266,0.021180577050966
1,2015,270,0.00100445765995665
1,2015,276,3.07904021794706e-6
1,2015,280,0.00100445765995665
1,2015,290,0.00105311412357484
1,2015,291,4.880840156575861e-24
1,2015,295,2.2259631051306202e-4
1,2015,300,9.8816870947287e-4
1,2015,305,2.08586094432127e-4
1,2015,310,8.85978371808569e-4
1,2015,320,0.00350825307089118
1,2015,321,0.0017634228374452
1,2015,330,9.195649614837351e-4
1,2015,340,9.03745404699879e-4
1,2015,350,9.71773625139966e-4
1,2015,360,9.11600823529408e-4
1,2015,361,3.49215133305967e-24
1,2015,363,0.077236006565082
1,2015,364,1.5947990134294701e-6
1,2015,366,0.012664037073105
1,2015,386,1.54956968614509e-24
1,2015,400,7.44415510459258e-4
1,2015,401,5.00202453021682e-4
1,2015,411,2.31432219343418e-24
1,2015,420,8.48816932909651e-32
1,2015,433,4.1108640758954995e-24
1,2015,444,6.0902697399244304e-24
1,2015,461,0.00142820013957788
1,2015,462,9.00331560437898e-4
1,2015,471,2.3556064120328199e-4
1,2015,472,2.1921059407976098e-4
1,2015,515,1.7002220378556401e-6
1,2015,521,4.49646448768567e-24
1,2015,531,1.62299297404556e-24
1,2015,541,1.25748847001765e-24
1,2015,551,4.23431608302327e-24
1,2015,611,5.88651608384002e-6
1,2015,612,3.67671103476425e-6
1,2015,620,0.00260053447981854
1,2015,621,0.00214470527491548
1,2015,630,0.012899208217907701
1,2015,631,2.4123220195370203e-6
1,2015,632,1.63723702780015e-6
1,2015,641,9.9251425492715e-8
1,2015,642,2.34160090766151e-7
1,2015,670,3.3617194532387e-4
1,2015,690,2.46275926517142e-4
1,2015,700,0.012867138003193801
1,2015,720,0.012867138003193801
1,2015,730,0.241020707680175
1,2015,810,0.011632669347351701
1,2015,811,4.0774539975892397e-7
1,2015,850,0.011066603044669
1,2015,857,5.6590580625505505e-5
1,2015,865,5.63360037164363e-4
1,2015,870,0.378200308955446
1,2015,890,11.1829963747231
1,2015,970,0.374764044926791
1,2015,980,0.300756471224276
1,2015,981,0.016724846419452398
1,2015,991,2.6326843674534397e-5
1,2015,1040,0.300756471224276
1,2015,1050,0.0014295857530140699
1,2015,1051,0.00142794221736123
1,2015,1110,2.9079143776437497e-7
1,2015,1131,0.00235417723791321
1,2015,1132,0.225217452256547
1,2015,1142,0.007995081583659561
1,2015,1151,0.0122312564866623
1,2015,1152,0.0841498204294947
1,2015,1153,0.48069906251154004
1,2015,1158,0.083947398617695
1,2015,1159,0.083947398617695
1,2015,1163,0.083947398617695
1,2015,1167,3.6687081492177203e-4
1,2015,1168,0.0825178128646809
1,2015,1180,2.00785991968574e-5
1,2015,1200,0.109392473527423
1,2015,1220,0.24187626242500898
1,2015,1221,0.150636765597524
1,2015,1222,0.024951269739437402
1,2015,1251,0.0010434449122833
1,2015,1252,3.31566684952984e-4
1,2015,1261,0.0010434449122833
1,2015,1262,3.31566684952984e-4
1,2015,1280,7.95687646785071e-4
1,2015,1301,0.00701083577139457
1,2015,1302,0.00117880575056578
1,2015,1365,0.00426355976088417
1,2015,1410,0.0572377128849898
