Year,TechID,Value
2015,10,7962.7744140625
2015,25,602.339660644531
2015,40,1532.10137939453
2015,70,1079.48444261952
2015,80,1097.20636644765
2015,90,1079.48444261952
2015,91,5.34121191719805e-10
2015,100,1079.48444261952
2015,110,1079.48444261952
2015,120,1079.48444261952
2015,130,284.923839449883
2015,140,297.345165133476
2015,150,284.923839449883
2015,160,284.923839449883
2015,161,5.03854291622474e-10
2015,170,284.923839449883
2015,181,284.923839449883
2015,190,19.411579683423
2015,191,3.60088314721452e-9
2015,200,32.062702730298
2015,210,19.411579683423
2015,220,19.411579683423
2015,230,19.411579683423
2015,240,19.411579683423
2015,250,24.7915564567143
2015,260,33.8397742301513
2015,265,47.3728289102764
2015,270,24.7915564567143
2015,276,1.56355963554233e-6
2015,280,24.7915564567143
2015,290,24.7915564567143
2015,291,1.88456360434609e-17
2015,295,23.1512712930842
2015,300,24.7915564567143
2015,305,23.1512712930842
2015,310,16.1146156614029
2015,320,0.0511822700500488
2015,330,16.1146156614029
2015,340,16.1146156614029
2015,350,16.1146156614029
2015,360,16.1146156614029
2015,361,2.66060460270864e-17
2015,363,16.2860443418228
2015,386,8.91242773145054e-18
2015,400,0.0233824253082275
2015,411,1.0218129019643e-17
2015,420,3.54259405830477e-29
2015,433,1.9302716197623e-17
2015,444,6.77888938017089e-17
2015,461,0.0205461978912354
2015,471,1.36508606374264e-4
2015,515,5.67000824958086e-7
2015,521,3.08300934559252e-17
2015,531,3.69613414446255e-18
2015,541,5.73565713255289e-18
2015,551,3.01444202851229e-17
2015,611,9.00802488157382e-11
2015,620,0.0733551979064941
2015,630,3.28730715205893
2015,631,2.55604565291279e-11
2015,640,30.620218353346
2015,641,1.40085830935277e-7
2015,700,18.628080798313
2015,720,3.28730715205893
2015,810,18.628080798313
2015,850,219.286250123754
2015,852,219.286250123754
2015,870,1461.9084289521
2015,970,1461.9084289521
2015,980,1461.9084289521
2015,1050,18.4598788022995
2015,1132,1461.9084289521
2015,1152,18.4598788022995
2015,1158,18.4598788022995
2015,1159,18.4598788022995
2015,1168,18.4598788022995
2015,1220,2.99542236328125
2015,1221,266.800525355799
2015,1251,0.0576610565185547
2015,1261,0.0576610565185547
2015,1301,0.0576610565185547
2015,1320,305.246021512611
2015,1365,0.00257712602615356
2015,1410,11.2946268764597
2015,1450,64.0028830575343
2015,1451,101.449553951551
2015,1452,574.880764009606
2015,1453,43.2341708821451
2015,1461,0.0576610565185547
2015,1471,247.989040189784
2015,1510,0.0576610565185547
2015,1520,24.7358360643923
2015,1530,65.5001742558727
2015,1540,1.13252837225315
2015,1541,6.42526091371204
2015,1552,0.00760030746459961
2015,1560,24.7358360643923
2015,1570,24.7358360643923
2015,1590,24.7358360643923
2015,1592,0.00760030746459961
2015,1610,24.7358360643923
2015,1612,1.57198149725315
2015,1613,0.00760030746459961
2015,1640,88.7997726728026
2015,1670,0.0638944493839517
2015,1675,0.74176025390625
2015,1680,0.0127935409545898
2015,1682,0.0638944493839517
2015,1685,0.0127935409545898
2015,1721,0.0127935409545898
2015,1732,0.0127935409545898
